Timestamp,Packet_Size,Src_IP,Dst_IP,Src_Port,Dst_Port,TCP_Flags,App
1740728632.415806,85,192.168.100.93,20.86.94.143,61736,443,PA,Chrome
1740728632.493466,60,20.86.94.143,192.168.100.93,443,61736,A,Chrome
1740728634.596821,91,192.168.100.93,13.78.109.162,61543,443,PA,Chrome
1740728634.853389,81,20.86.94.143,192.168.100.93,443,61736,PA,Chrome
1740728634.853727,60,13.78.109.162,192.168.100.93,443,61543,A,Chrome
1740728634.853727,87,13.78.109.162,192.168.100.93,443,61543,PA,Chrome
1740728634.897589,54,192.168.100.93,20.86.94.143,61736,443,A,Chrome
1740728634.89771,54,192.168.100.93,13.78.109.162,61543,443,A,Chrome
1740728635.933088,158,20.86.94.143,192.168.100.93,443,61736,PA,Chrome
1740728635.98408,54,192.168.100.93,20.86.94.143,61736,443,A,Chrome
1740728636.065189,66,192.168.100.93,142.250.75.99,62094,443,S,Chrome
1740728636.078785,66,142.250.75.99,192.168.100.93,443,62094,SA,Chrome
1740728636.078883,54,192.168.100.93,142.250.75.99,62094,443,A,Chrome
1740728636.080073,1889,192.168.100.93,142.250.75.99,62094,443,PA,Chrome
1740728636.0947,60,142.250.75.99,192.168.100.93,443,62094,A,Chrome
1740728636.0947,60,142.250.75.99,192.168.100.93,443,62094,A,Chrome
1740728636.144369,1454,142.250.75.99,192.168.100.93,443,62094,A,Chrome
1740728636.144369,1454,142.250.75.99,192.168.100.93,443,62094,PA,Chrome
1740728636.144414,54,192.168.100.93,142.250.75.99,62094,443,A,Chrome
1740728636.144736,1454,142.250.75.99,192.168.100.93,443,62094,A,Chrome
1740728636.144736,1454,142.250.75.99,192.168.100.93,443,62094,PA,Chrome
1740728636.144736,213,142.250.75.99,192.168.100.93,443,62094,PA,Chrome
1740728636.144761,54,192.168.100.93,142.250.75.99,62094,443,A,Chrome
1740728636.145109,66,192.168.100.93,142.250.75.68,62095,443,S,Chrome
1740728636.146216,128,192.168.100.93,142.250.75.99,62094,443,PA,Chrome
1740728636.146475,146,192.168.100.93,142.250.75.99,62094,443,PA,Chrome
